id_auditoria_sistema,id_usuario_sistema,accion_realizada,tabla_afectada,registro_id,valores_anteriores,valores_nuevos,fecha_hora
1,1,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
2,1,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
3,1,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
4,1,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
5,1,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
6,1,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
7,1,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
8,2,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
9,2,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
10,2,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
11,2,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
12,2,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
13,2,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
14,2,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
15,3,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
16,3,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
17,3,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
18,3,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
19,3,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
20,3,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
21,3,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
22,4,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
23,4,INSERT,productos,1,,"{'"nombre'": '"Leche Entera 1L'", '"precio_venta_actual'": 1.25}",2026-03-29 19:22:27.718562-05
24,4,UPDATE,inventarios,25,"{'"stock_actual'": 50}","{'"stock_actual'": 120}",2026-04-18 19:22:27.718562-05
25,4,INSERT,facturas,100,,"{'"total_pagar'": 45.80, '"numero_factura'": '"FAC-00000100'"}",2026-05-18 19:22:27.718562-05
26,4,INSERT,compras,50,,"{'"total_pagado'": 2500, '"numero_factura_proveedor'": '"FAC-2026-0000050'"}",2026-06-02 19:22:27.718562-05
27,4,UPDATE,clientes,200,"{'"telefono'": '"+593980000000'"}","{'"telefono'": '"+593999999999'"}",2026-06-27 19:22:27.718562-05
28,4,INSERT,tarjetas_fidelizacion,150,,"{'"codigo_tarjeta'": '"DM360-00000150'", '"puntos_acumulados'": 300}",2026-07-07 19:22:27.718562-05
29,5,INSERT,clientes,1,,"{'"nombre_completo'": '"Juan Gomez'", '"correo_electronico'": '"juan.gomez@gmail.com'"}",2026-03-19 19:22:27.718562-05
