id_categoria,nombre,descripcion,activo,creado_en,modificado_en,creado_por,modificado_por
1,Lácteos,"Leche, quesos, yogures y derivados lácteos.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
2,Carnes,"Cortes de carne vacuna, porcina, aves y otras carnes frescas.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
3,Embutidos,"Jamones, salchichas, chorizos y carnes frías.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
4,Bebidas,"Jugos, refrescos, aguas y bebidas con o sin alcohol.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
5,Panadería,"Pan fresco, pasteles, galletas y productos de repostería.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
6,Frutas,Frutas frescas y de temporada.,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
7,Verduras,"Vegetales, hortalizas y legumbres frescas.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
8,Limpieza,"Detergentes, desinfectantes y utensilios para el aseo del hogar.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
9,Aseo Personal,"Champús, jabones, desodorantes y productos de higiene corporal.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
10,Mascotas,"Alimento, juguetes y accesorios para animales de compañía.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
11,Congelados,"Alimentos listos, helados y productos que requieren congelación.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
12,Electrónica,"Dispositivos, cables, accesorios y tecnología en general.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
13,Hogar,"Decoración, utensilios de cocina y organización para el hogar.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
14,Papelería,"Cuadernos, lápices, repuestos y útiles de oficina o escolares.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
15,Bebés,"Pañales, fórmulas, papillas y cuidado para los más pequeños.",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
