id_compra,id_proveedor,id_sucursal,numero_factura_proveedor,fecha_compra,subtotal,impuesto,total_pagado,creado_en,modificado_en,creado_por,modificado_por
1798,45,3,FAC-PROV-2026-00001798,2026-06-02 02:38:07.855417-05,2488.27,373.24,2861.51,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1489,45,3,FAC-PROV-2026-00001489,2025-05-31 12:13:10.897468-05,1269.36,190.40,1459.76,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1269,45,3,FAC-PROV-2026-00001269,2025-12-05 06:50:11.942528-05,2297.25,344.59,2641.83,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
652,45,3,FAC-PROV-2026-00000652,2025-08-15 16:45:50.570796-05,2091.87,313.78,2405.65,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
273,45,3,FAC-PROV-2026-00000273,2024-09-28 17:19:06.611439-05,1569.83,235.47,1805.30,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1560,45,3,FAC-PROV-2026-00001560,2025-11-26 20:04:48.3993-05,2032.34,304.85,2337.20,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
51,45,3,FAC-PROV-2026-00000051,2025-07-31 06:01:43.069897-05,2068.99,310.35,2379.34,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
951,45,3,FAC-PROV-2026-00000951,2025-07-20 20:56:03.862904-05,1568.12,235.22,1803.34,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1898,45,3,FAC-PROV-2026-00001898,2026-04-29 22:27:57.783596-05,1150.17,172.53,1322.70,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
70,45,3,FAC-PROV-2026-00000070,2025-10-09 04:57:03.984545-05,1898.54,284.78,2183.32,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
350,45,3,FAC-PROV-2026-00000350,2025-08-16 01:43:23.650441-05,2610.97,391.65,3002.62,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
758,45,3,FAC-PROV-2026-00000758,2025-03-18 08:05:30.568372-05,1082.28,162.34,1244.62,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1750,45,3,FAC-PROV-2026-00001750,2026-04-28 20:38:15.799321-05,2695.44,404.32,3099.76,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1136,45,3,FAC-PROV-2026-00001136,2024-09-10 20:07:28.699776-05,802.29,120.34,922.64,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
176,45,3,FAC-PROV-2026-00000176,2025-10-08 04:03:52.081705-05,2538.71,380.81,2919.51,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
576,45,3,FAC-PROV-2026-00000576,2024-10-17 04:36:52.166057-05,1161.62,174.24,1335.87,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1831,45,3,FAC-PROV-2026-00001831,2024-11-12 02:53:31.783309-05,2816.30,422.44,3238.74,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1003,45,3,FAC-PROV-2026-00001003,2025-08-19 03:51:10.140164-05,684.30,102.65,786.95,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
292,45,3,FAC-PROV-2026-00000292,2025-06-09 23:03:20.052525-05,962.11,144.32,1106.42,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1331,45,3,FAC-PROV-2026-00001331,2025-10-21 06:17:30.082515-05,1339.70,200.96,1540.66,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
929,45,3,FAC-PROV-2026-00000929,2024-06-02 04:56:51.34227-05,2721.91,408.29,3130.20,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
663,45,3,FAC-PROV-2026-00000663,2026-01-03 21:20:23.894082-05,1241.96,186.29,1428.26,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1552,45,3,FAC-PROV-2026-00001552,2024-11-24 07:04:02.221041-05,2798.50,419.77,3218.27,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1589,45,3,FAC-PROV-2026-00001589,2026-05-06 04:04:19.817239-05,1061.85,159.28,1221.13,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1493,45,3,FAC-PROV-2026-00001493,2024-05-11 17:45:26.197829-05,2588.65,388.30,2976.95,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1811,45,3,FAC-PROV-2026-00001811,2024-05-27 11:59:24.216659-05,1367.86,205.18,1573.04,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1373,45,3,FAC-PROV-2026-00001373,2024-01-10 16:37:53.424904-05,1541.39,231.21,1772.60,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
764,45,3,FAC-PROV-2026-00000764,2026-03-18 13:06:08.157977-05,1856.15,278.42,2134.57,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
556,45,3,FAC-PROV-2026-00000556,2026-06-15 11:27:11.873983-05,1221.01,183.15,1404.16,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1268,45,3,FAC-PROV-2026-00001268,2026-03-25 16:38:02.171352-05,2255.74,338.36,2594.10,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
638,45,3,FAC-PROV-2026-00000638,2025-05-06 20:40:41.429546-05,2016.70,302.51,2319.21,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
940,45,3,FAC-PROV-2026-00000940,2026-02-01 09:47:56.161236-05,2524.43,378.66,2903.10,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
173,45,3,FAC-PROV-2026-00000173,2025-11-01 13:32:00.761551-05,1745.76,261.86,2007.62,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1963,45,3,FAC-PROV-2026-00001963,2024-12-22 19:26:19.850683-05,2202.17,330.33,2532.50,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
42,45,3,FAC-PROV-2026-00000042,2024-08-21 05:32:46.456222-05,825.43,123.81,949.24,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
876,45,3,FAC-PROV-2026-00000876,2025-11-19 07:19:31.704778-05,1189.98,178.50,1368.47,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
161,45,3,FAC-PROV-2026-00000161,2026-05-25 12:53:52.176568-05,1781.29,267.19,2048.49,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
113,45,3,FAC-PROV-2026-00000113,2025-11-01 18:39:13.376004-05,1334.43,200.16,1534.59,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1742,45,3,FAC-PROV-2026-00001742,2026-05-23 09:51:54.26409-05,1568.20,235.23,1803.43,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1595,45,3,FAC-PROV-2026-00001595,2026-07-10 04:10:00.221914-05,1187.63,178.14,1365.78,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1372,45,3,FAC-PROV-2026-00001372,2026-05-02 01:31:12.714771-05,1397.29,209.59,1606.89,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
632,45,3,FAC-PROV-2026-00000632,2025-07-02 07:06:19.533139-05,1102.10,165.32,1267.42,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
658,45,3,FAC-PROV-2026-00000658,2024-01-13 03:12:00.129256-05,2625.25,393.79,3019.03,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
815,45,3,FAC-PROV-2026-00000815,2026-06-26 03:20:05.834905-05,1579.45,236.92,1816.36,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1422,45,3,FAC-PROV-2026-00001422,2024-11-22 20:03:33.273396-05,2124.64,318.70,2443.34,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
440,45,3,FAC-PROV-2026-00000440,2024-03-19 07:08:44.031594-05,2639.17,395.88,3035.05,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1004,45,3,FAC-PROV-2026-00001004,2025-11-09 13:37:04.757191-05,3179.87,476.98,3656.86,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
57,45,3,FAC-PROV-2026-00000057,2025-12-11 18:16:22.864242-05,2244.05,336.61,2580.66,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1313,45,3,FAC-PROV-2026-00001313,2024-02-07 01:18:31.828621-05,1952.22,292.83,2245.06,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
19,45,3,FAC-PROV-2026-00000019,2024-12-30 04:36:47.314835-05,2290.07,343.51,2633.58,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
160,45,3,FAC-PROV-2026-00000160,2025-08-18 12:17:59.078776-05,2759.74,413.96,3173.71,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
644,45,3,FAC-PROV-2026-00000644,2025-09-24 11:44:38.928393-05,2447.57,367.14,2814.71,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
824,45,3,FAC-PROV-2026-00000824,2025-06-01 02:16:10.699526-05,1379.58,206.94,1586.51,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1857,45,3,FAC-PROV-2026-00001857,2026-03-09 05:41:48.66785-05,1180.18,177.03,1357.21,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1262,45,3,FAC-PROV-2026-00001262,2024-01-21 03:27:22.997757-05,2007.62,301.14,2308.77,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
357,45,3,FAC-PROV-2026-00000357,2025-12-14 01:59:20.862162-05,2197.11,329.57,2526.68,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1143,45,3,FAC-PROV-2026-00001143,2025-06-01 02:08:11.191544-05,1685.54,252.83,1938.37,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1782,45,3,FAC-PROV-2026-00001782,2024-09-10 14:59:13.218983-05,1444.64,216.70,1661.34,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
769,45,3,FAC-PROV-2026-00000769,2025-09-28 09:51:25.669018-05,1241.40,186.21,1427.61,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
266,45,3,FAC-PROV-2026-00000266,2025-07-25 00:44:21.188651-05,1008.46,151.27,1159.73,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1550,45,3,FAC-PROV-2026-00001550,2026-03-04 05:33:28.889426-05,2241.76,336.26,2578.03,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1287,45,3,FAC-PROV-2026-00001287,2025-06-28 13:02:48.780423-05,1264.13,189.62,1453.75,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
366,45,3,FAC-PROV-2026-00000366,2025-09-08 23:50:28.212119-05,2687.55,403.13,3090.68,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
307,45,3,FAC-PROV-2026-00000307,2024-05-24 23:03:43.367208-05,2357.46,353.62,2711.08,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1644,45,3,FAC-PROV-2026-00001644,2024-03-30 04:17:08.951037-05,1546.83,232.02,1778.85,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
91,45,3,FAC-PROV-2026-00000091,2025-10-17 06:04:16.799801-05,2517.30,377.60,2894.90,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
305,45,3,FAC-PROV-2026-00000305,2026-01-05 01:57:14.712939-05,1543.91,231.59,1775.50,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1606,45,3,FAC-PROV-2026-00001606,2025-02-26 17:25:45.982122-05,1177.69,176.65,1354.35,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1312,45,3,FAC-PROV-2026-00001312,2025-04-22 19:42:38.525947-05,2570.81,385.62,2956.43,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
743,45,3,FAC-PROV-2026-00000743,2024-12-06 05:31:52.510937-05,1018.82,152.82,1171.64,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1484,45,3,FAC-PROV-2026-00001484,2024-07-17 08:47:55.597738-05,2702.79,405.42,3108.21,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
10,45,3,FAC-PROV-2026-00000010,2025-10-04 17:44:17.145276-05,1584.55,237.68,1822.23,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1940,45,3,FAC-PROV-2026-00001940,2025-07-13 15:11:40.689544-05,2035.79,305.37,2341.16,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1984,45,3,FAC-PROV-2026-00001984,2025-05-27 06:56:57.355684-05,1967.77,295.16,2262.93,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1602,45,3,FAC-PROV-2026-00001602,2024-03-24 20:26:57.823664-05,1180.24,177.04,1357.28,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1662,45,3,FAC-PROV-2026-00001662,2026-07-12 22:14:15.236087-05,1664.17,249.63,1913.79,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
823,45,3,FAC-PROV-2026-00000823,2024-06-25 08:39:51.577444-05,2056.83,308.52,2365.35,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
822,45,3,FAC-PROV-2026-00000822,2024-12-18 00:31:25.478444-05,814.97,122.24,937.21,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1118,45,3,FAC-PROV-2026-00001118,2024-07-23 02:27:01.090447-05,1895.13,284.27,2179.40,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1990,45,3,FAC-PROV-2026-00001990,2026-06-06 08:53:17.094401-05,3107.65,466.15,3573.80,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1025,45,3,FAC-PROV-2026-00001025,2026-02-21 18:35:06.512376-05,2367.36,355.10,2722.47,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
241,45,3,FAC-PROV-2026-00000241,2024-12-21 10:16:42.733529-05,2505.94,375.89,2881.83,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
175,45,3,FAC-PROV-2026-00000175,2024-08-26 15:38:12.486214-05,938.10,140.71,1078.81,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
596,45,3,FAC-PROV-2026-00000596,2026-01-16 14:55:57.616562-05,1613.92,242.09,1856.00,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
50,45,3,FAC-PROV-2026-00000050,2025-01-13 10:48:21.796363-05,958.67,143.80,1102.47,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
13,45,3,FAC-PROV-2026-00000013,2024-12-03 02:17:16.569336-05,2322.93,348.44,2671.37,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1319,45,3,FAC-PROV-2026-00001319,2025-09-04 13:50:18.802828-05,2160.52,324.08,2484.60,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1776,45,3,FAC-PROV-2026-00001776,2026-01-22 04:09:27.656548-05,1858.06,278.71,2136.77,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
1104,45,3,FAC-PROV-2026-00001104,2025-02-20 02:00:43.767813-05,2869.39,430.41,3299.80,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
