id_despacho_sucursal,id_sucursal_origen,id_sucursal_destino,fecha_despacho,documento_remision,estado,creado_en,modificado_en,creado_por,modificado_por
1,1,2,2026-05-22 05:20:50.512848-05,REM-1,Entregado,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
2,1,3,2026-05-29 07:03:42.103534-05,REM-2,Entregado,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
3,1,4,2026-06-24 22:24:14.672362-05,REM-3,Entregado,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
4,1,5,2026-07-03 08:39:36.951882-05,REM-4,Entregado,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
5,1,6,2026-06-08 12:32:26.61378-05,REM-5,Entregado,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
6,1,7,2026-05-19 15:11:53.505683-05,REM-6,Entregado,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
7,1,8,2026-07-16 19:38:15.186936-05,REM-7,Entregado,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
8,1,9,2026-05-22 16:36:48.160099-05,REM-8,Entregado,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
9,1,10,2026-05-20 15:52:32.931141-05,REM-9,Entregado,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
10,1,11,2026-07-04 20:34:09.182004-05,REM-10,Entregado,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
11,1,12,2026-05-21 22:29:15.447377-05,REM-11,Entregado,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
12,1,13,2026-05-23 04:21:03.538513-05,REM-12,Entregado,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
