id_detalle_factura,id_factura,id_producto,cantidad,precio_unitario_historico,descuento_aplicado,impuesto_aplicado,creado_en,modificado_en,creado_por,modificado_por
1,1,117,3.503,2.70,0.00,1.42,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
2,1,95,3.503,5.50,0.00,2.89,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
3,1,187,3.503,1.10,0.00,0.58,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
4,1,14,3.503,1.05,0.00,0.55,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
5,1,195,3.503,0.80,0.00,0.42,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
6,2,117,3.503,2.70,0.00,1.42,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
7,2,95,3.503,5.50,0.00,2.89,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
8,2,187,3.503,1.10,0.00,0.58,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
9,2,14,3.503,1.05,0.00,0.55,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
10,2,195,3.503,0.80,0.00,0.42,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
11,3,117,3.503,2.70,0.00,1.42,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
12,3,95,3.503,5.50,0.00,2.89,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
13,3,187,3.503,1.10,0.00,0.58,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
14,3,14,3.503,1.05,0.00,0.55,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
15,3,195,3.503,0.80,0.00,0.42,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
16,4,117,3.503,2.70,0.00,1.42,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
17,4,95,3.503,5.50,0.00,2.89,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
18,4,187,3.503,1.10,0.00,0.58,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
19,4,14,3.503,1.05,0.00,0.55,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
20,4,195,3.503,0.80,0.00,0.42,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
21,5,117,3.503,2.70,0.00,1.42,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
22,5,95,3.503,5.50,0.00,2.89,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
23,5,187,3.503,1.10,0.00,0.58,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
24,5,14,3.503,1.05,0.00,0.55,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
25,5,195,3.503,0.80,0.00,0.42,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
