id_detalle_compra,id_compra,id_producto,cantidad_recibida,costo_unitario_compra,creado_en,modificado_en,creado_por,modificado_por
1,1,153,39.211,1.28,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
2,1,265,39.908,3.97,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
3,1,124,46.084,1.82,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
4,1,354,27.076,0.85,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
5,1,275,68.604,32.96,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
6,1,114,78.579,2.43,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
7,2,153,61.029,1.21,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
8,2,265,30.071,3.31,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
9,2,124,55.998,1.77,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
10,2,354,23.832,0.79,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
11,2,275,58.534,28.45,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
12,2,114,40.676,2.32,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
13,3,153,12.871,1.26,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
14,3,265,27.639,3.30,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
15,3,124,36.457,1.78,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
16,3,354,28.878,0.81,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
17,3,275,42.720,33.94,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
18,3,114,33.012,2.67,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
19,4,153,57.575,1.17,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
20,4,265,70.975,3.84,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
21,4,124,69.125,1.71,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
22,4,354,68.510,0.79,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
23,4,275,27.995,28.04,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
24,4,114,70.755,2.30,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
25,5,153,79.778,1.37,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
26,5,265,48.769,4.13,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
27,5,124,64.912,1.79,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
28,5,354,38.587,0.67,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
29,5,275,49.288,33.69,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script_generator,
