id_detalle_despacho,id_despacho_sucursal,id_producto,cantidad_enviada,cantidad_recibida,creado_en,modificado_en,creado_por,modificado_por
1,1,248,35.322,25.704,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
2,1,4,35.322,26.322,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
3,1,124,35.322,31.345,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
4,1,135,35.322,29.414,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
5,1,93,35.322,26.544,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
6,1,276,35.322,10.102,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
7,1,131,35.322,22.561,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
8,1,356,35.322,13.551,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
9,1,259,35.322,9.734,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
10,1,234,35.322,17.220,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
11,2,248,35.322,21.565,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
12,2,4,35.322,33.210,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
13,2,124,35.322,14.181,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
14,2,135,35.322,1.126,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
15,2,93,35.322,34.510,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
16,2,276,35.322,24.340,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
17,2,131,35.322,18.173,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
18,2,356,35.322,28.206,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
19,2,259,35.322,25.520,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
20,2,234,35.322,17.828,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
21,3,248,35.322,3.399,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
22,3,4,35.322,2.351,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
23,3,124,35.322,27.189,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
24,3,135,35.322,24.941,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
25,3,93,35.322,26.196,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
26,3,276,35.322,26.526,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
27,3,131,35.322,31.859,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
28,3,356,35.322,15.194,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
29,3,259,35.322,33.966,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
30,3,234,35.322,9.154,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
31,4,248,35.322,24.823,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
32,4,4,35.322,15.767,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
33,4,124,35.322,6.941,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
34,4,135,35.322,29.845,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
35,4,93,35.322,2.579,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
36,4,276,35.322,3.970,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
37,4,131,35.322,11.724,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
38,4,356,35.322,28.287,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
39,4,259,35.322,6.043,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
40,4,234,35.322,28.381,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
41,5,248,35.322,5.588,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
42,5,4,35.322,7.215,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
43,5,124,35.322,24.408,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
44,5,135,35.322,31.065,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
45,5,93,35.322,18.942,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
46,5,276,35.322,1.130,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
47,5,131,35.322,11.150,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
