id_factura,numero_factura,fecha_emision,id_cliente,id_metodo_pago,id_sucursal,subtotal_neto,total_descuento,total_impuesto,total_pagar,creado_en,modificado_en,creado_por,modificado_por
1,FAC-00000001,2026-01-17 15:32:39.482653-05,392,2,8,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
2,FAC-00000002,2024-09-01 18:06:16.342466-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
3,FAC-00000003,2025-07-05 11:30:26.14858-05,392,2,8,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
4,FAC-00000004,2024-01-19 12:09:59.26773-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
5,FAC-00000005,2025-01-28 23:08:41.311008-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
6,FAC-00000006,2026-04-18 13:19:59.261734-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
7,FAC-00000007,2025-06-19 10:55:19.725474-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
8,FAC-00000008,2024-03-30 05:26:45.436697-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
9,FAC-00000009,2024-03-29 11:42:33.844254-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
10,FAC-00000010,2025-10-19 09:14:26.912241-05,392,2,8,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
11,FAC-00000011,2025-08-17 11:16:15.561072-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
12,FAC-00000012,2025-06-16 21:24:47.5654-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
13,FAC-00000013,2024-09-15 04:59:24.221181-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
14,FAC-00000014,2024-02-20 17:36:10.369735-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
15,FAC-00000015,2024-06-08 13:04:59.876517-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
16,FAC-00000016,2025-09-29 14:55:59.254562-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
17,FAC-00000017,2026-07-07 08:44:45.625582-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
18,FAC-00000018,2024-08-28 11:25:48.232354-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
19,FAC-00000019,2024-05-18 14:30:05.231849-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
20,FAC-00000020,2024-02-13 17:59:27.253548-05,392,2,8,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
21,FAC-00000021,2025-06-30 08:22:05.900311-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
22,FAC-00000022,2025-01-19 00:03:02.072375-05,392,2,5,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
23,FAC-00000023,2025-05-15 08:54:12.045566-05,392,2,5,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
24,FAC-00000024,2025-08-09 16:57:02.635762-05,392,2,5,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
25,FAC-00000025,2025-04-18 18:23:34.587702-05,392,2,5,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
26,FAC-00000026,2025-04-21 02:01:02.656149-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
27,FAC-00000027,2024-02-10 07:01:00.277346-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
28,FAC-00000028,2024-06-06 03:09:07.615907-05,392,2,7,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
29,FAC-00000029,2025-04-03 13:08:56.7806-05,392,2,7,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
30,FAC-00000030,2025-06-16 12:28:54.217852-05,392,2,7,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
31,FAC-00000031,2026-01-13 18:50:20.28836-05,392,2,7,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
32,FAC-00000032,2025-07-21 06:56:11.516456-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
33,FAC-00000033,2026-02-16 23:22:17.335408-05,392,2,6,39.06,0.00,5.86,44.92,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,script
