id_inventario,id_sucursal,id_producto,stock_actual,creado_en,modificado_en,creado_por,modificado_por
1,1,1,400,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
2,1,2,288.435,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
3,1,3,194.496,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
4,1,4,431.365,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
5,1,5,304.790,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
6,1,6,392.077,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
7,1,7,520.354,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
8,1,8,305.484,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
9,1,9,305.125,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
10,1,10,171.166,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
11,1,11,274.885,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
12,1,12,255.158,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
13,1,13,422.169,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
14,1,14,450,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
15,1,15,464.308,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
16,1,16,226.639,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
17,1,17,405.036,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
18,1,18,371.210,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
19,1,19,189.224,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
20,1,20,466.351,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
21,1,21,502.326,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
22,1,22,202.939,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
23,1,23,313.089,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
24,1,24,443.544,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
25,1,25,167.871,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
26,1,26,380,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
27,1,27,372.488,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
28,1,28,378.183,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
29,1,29,222.079,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
30,1,30,260,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
31,1,31,265.553,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
32,1,32,227.301,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
33,1,33,187.842,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
34,1,34,268.122,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
35,1,35,210.493,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
36,1,36,383.074,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
37,1,37,476.790,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
38,1,38,283.309,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
39,1,39,354.068,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
40,1,40,244.618,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
41,1,41,299.513,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
42,1,125,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
43,1,43,166.582,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
44,1,44,540.898,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
45,1,45,475.129,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
46,1,46,58,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
47,1,47,424.182,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
48,1,48,332.095,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
49,1,49,523.788,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
50,1,50,289.484,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
51,1,51,549.086,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
52,1,52,219.641,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
53,1,53,447.346,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
54,1,54,264.849,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
55,1,55,233.519,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
56,1,56,395.585,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
57,1,57,508.925,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
58,1,58,164.195,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
59,1,59,155.582,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
60,1,60,269.623,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
61,1,61,248.151,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
62,1,62,477.251,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
63,1,63,311.949,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
64,1,64,165.043,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
65,1,65,250.312,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
66,1,66,200.905,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
67,1,67,394.019,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
68,1,68,394.814,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
69,1,69,487.437,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
70,1,70,424.839,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
71,1,71,177.813,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
72,1,72,479.725,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
73,1,73,320.411,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
74,1,74,213.646,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
75,1,75,337.132,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
76,1,76,25.012,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
77,1,77,60.717,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
78,1,78,51.355,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
79,1,79,69.605,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
80,1,80,52.325,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
81,1,81,77.993,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
82,1,82,60.260,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
83,1,83,36.347,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
84,1,84,39.268,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
85,1,85,58.922,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
86,1,86,15.651,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
87,1,87,41.911,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
88,1,88,50.422,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
89,1,89,44.190,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
90,1,90,42.988,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
91,1,91,49.903,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
92,1,92,72.692,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
93,1,93,36.469,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
94,1,94,17.049,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
95,1,95,73.174,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
96,1,96,19.523,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
97,1,97,11.791,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
98,1,98,34.037,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
99,1,99,54.213,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
100,1,100,43.573,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
101,1,101,57.204,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
102,1,102,220,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
103,1,103,185,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
104,1,104,11.301,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
105,1,105,61.545,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
