id_producto,codigo_barras,nombre,descripcion,id_categoria,precio_venta_actual,stock_minimo_alerta,activo,creado_en,modificado_en,creado_por,modificado_por
1,7861000100019,Leche Toni Entera 1L,Leche fluida entera ultrapasteurizada,1,1.10,50.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
2,7861000100026,Leche Toni Deslactosada 1L,Leche fluida semidescremada deslactosada,1,1.25,40.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
3,7861000100033,Yogurt Toni Fresa 1L,Yogurt entero con dulce sabor a fresa,1,2.45,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
4,7861000100040,Yogurt Toni Durazno 1L,Yogurt entero sabor durazno,1,2.45,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
5,7861000100057,Mantequilla Girasol con sal 250g,Mantequilla pasteurizada de mesa,1,1.85,30.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
6,7861000100064,Queso Mozzarella Kiosko 500g,Queso semiduro para derretir,1,4.20,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
7,7861000100071,Queso Crema Kiosko 220g,Queso crema para untar,1,2.10,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
8,7861000100088,Leche Condensada La Lechera 395g,Leche condensada azucarada tradicional,1,1.95,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
9,7861000100095,Crema de Leche La Lechera 290g,Crema de leche pasteurizada para cocina,1,1.60,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
10,7861000100101,Yogurt Griego Toni Natural 150g,Yogurt estilo griego sin azúcar añadido,1,0.95,40.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
11,7861000100118,Queso Fresco Reyqueso 500g,Queso fresco de mesa,1,2.90,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
12,7861000100125,Yogurt Regeneris Ciruela 1L,Bebida láctea con fibra,1,2.60,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
13,7861000100132,Helado de Vainilla Pingüino 1L,Helado cremoso sabor a vainilla,1,3.50,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
14,7861000100149,Leche Semidescremada Vita 1L,Leche fluida pasteurizada semidescremada,1,1.05,50.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
15,7861000100156,Manjar de Leche Toni 250g,Dulce de leche tradicional,1,1.50,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
16,7861000100163,Leche de Almendras Nature s Heart 1L,Bebida vegetal de almendras,1,3.20,12.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
17,7861000100170,Yogurt Nutri Entero Mora 1L,Yogurt bebible sabor mora,1,1.90,30.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
18,7861000100187,Queso Ricotta Alpina 250g,Queso suave bajo en grasa,1,2.30,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
19,7861000100194,Bebida de Avena Polaca Alimentos 1L,Avena de leche con canela lista,1,1.40,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
20,7861000100200,Flan de Vainilla Royal pack x4,Postre de flan listo para preparar,1,1.20,30.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
21,7861000100217,Gelatina Royal Fresa 80g,Polvo para preparar gelatina de fresa,1,0.75,40.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
22,7861000100224,Chispas de Chocolate Nestle 150g,Gotas de chocolate para repostería,1,2.80,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
23,7861000100231,Leche en Polvo La Vaquita 400g,Leche entera en polvo instantánea,1,3.99,15.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
24,7861000100248,Crema Chantilly Puratos 500ml,Crema para batir y decorar repostería,1,2.95,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
25,7861000100255,Bebida Lactea Chocoleche 200ml,Leche saborizada con chocolate,1,0.55,60.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
26,7861000400010,Coca-Cola 2L,Bebida gaseosa sabor original,4,2.10,80.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
27,7861000400027,Sprite 1L,Bebida gaseosa sabor lima-limón,4,1.15,40.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
28,7861000400034,Fanta Naranja 2L,Bebida gaseosa sabor naranja,4,1.95,45.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
29,7861000400041,Agua Mineral Güitig 1.5L,Agua mineral con gas natural,4,0.95,50.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
30,7861000400058,Agua Purificada Dasani 1.5L,Agua de mesa sin gas,4,0.75,60.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
31,7861000400065,Té Helado Sun Tea Limón 1.5L,Bebida de té con limón,4,1.50,30.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
32,7861000400072,Jugo de Naranja Tampico 1L,Bebida sabor cítrico con naranja,4,1.20,40.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
33,7861000400089,Gatorade Blue Bolt 750ml,Bebida hidratante para deportistas,4,1.45,50.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
34,7861000400096,Cerveza Club Verde Botella 330ml,Cerveza premium tipo pilsener,4,1.35,120.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
35,7861000400102,Cerveza Pilsener Lata 473ml,Cerveza tradicional ecuatoriana,4,1.50,180.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
36,7861000400119,Néctar de Durazno Del Valle 1L,Bebida de fruta pasteurizada,4,1.40,40.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
37,7861000400126,Agua Tónica Fioravanti 1L,Agua tónica para coctelería,4,1.10,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
38,7861000400133,Red Bull Energy Drink 250ml,Bebida energizante estimulante,4,2.50,35.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
39,7861000400140,Jugo Nutri Néctar Manzana 1L,Jugo de manzana listo para tomar,4,1.30,30.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
40,7861000400157,Bebida de Coco Silk 1L,Bebida vegetal de coco libre de lácteos,4,3.40,12.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
41,7861000400164,Tónica Canada Dry 355ml,Bebida carbonatada de agua tónica,4,0.85,40.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
42,7861000400171,Refresco Ponche Tropical Petit 200ml,Jugo de frutas infantil,4,0.45,100.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
43,7861000400188,Cerveza Stella Artois Botella 330ml,Cerveza lager premium importada,4,2.10,48.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
44,7861000400195,Bebida Aloe Vera OKF 500ml,Bebida refrescante con pulpa de aloe,4,1.65,25.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
45,7861000400201,Monster Energy Green 473ml,Bebida energizante lata grande,4,2.75,40.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
46,7861000400218,Agua con Gas San Felipe 1L,Agua mineral gasificada de fuente,4,0.80,50.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
47,7861000400225,Whisky Johnnie Walker Red Label 750ml,Whisky escocés mezclado,4,24.50,10.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
48,7861000400232,Ron San Miguel Añejo 750ml,Ron dorado añejado ecuatoriano,4,11.20,12.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
49,7861000400249,Vino Tinto Gato Negro Cabernet 750ml,Vino tinto joven de mesa,4,8.90,20.000,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
