id_producto_promocion,id_producto,id_promocion,activo,creado_en,modificado_en,creado_por,modificado_por
1,1,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
2,3,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
3,4,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
4,5,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
5,7,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
6,7,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
7,7,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
8,8,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
9,10,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
10,10,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
11,10,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
12,11,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
13,11,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
14,12,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
15,13,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
16,18,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
17,18,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
18,20,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
19,25,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
20,26,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
21,27,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
22,29,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
23,30,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
24,30,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
25,33,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
26,34,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
27,35,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
28,35,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
29,35,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
30,37,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
31,37,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
32,38,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
33,38,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
34,39,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
35,40,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
36,41,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
37,42,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
38,44,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
39,44,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
40,45,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
41,46,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
42,48,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
43,48,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
44,50,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
45,51,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
46,52,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
47,53,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
48,54,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
49,54,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
50,59,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
51,63,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
52,64,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
53,65,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
54,66,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
55,66,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
56,68,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
57,68,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
58,69,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
59,71,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
60,74,6,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
61,75,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
62,76,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
63,78,5,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
64,79,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
65,81,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
66,82,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
67,85,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
68,86,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
69,87,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
70,88,2,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
71,88,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
72,89,3,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
73,90,4,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
74,91,1,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
