id_proveedor,identificacion_fiscal,razon_social,nombre_contacto,telefono,correo,direccion,activo,creado_en,modificado_en,creado_por,modificado_por
1,1790051833001,PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,Carlos Proaño,023974500,contacto@pronaca.com,"Av. Los Granados E12-70 y Av. 6 de Diciembre, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
2,1790011521001,NESTLE ECUADOR S.A.,María Fernanda Gómez,023963100,servicio.cliente@ec.nestle.com,"Av. Simón Bolívar, Complejo Ekopark, Torre 2, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
3,1390013254001,LA FABRIL S.A.,Santiago Cevallos,052622200,ventas@lafabril.com.ec,"Av. Interbarrial, Km 5.5, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
4,0990015945001,UNILEVER ANDINA ECUADOR S.A.,Lorena Andrade,042594000,compras@unilever.com.ec,"Av. Las Doblas Km 10.5 Vía a Daule, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
5,1790017414001,COLGATE-PALMOLIVE DEL ECUADOR S.A.,Jorge Espinoza,022986400,proveedores@colgate.com,"Av. de los Shyris N35-174 y Suecia, Edificio Renazzo, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
6,0990005729001,ARCA CONTINENTAL ECUADOR (ACBEVERAGES),Paulina Jácome,043712000,abastecimiento@arcacontal.com,"Vía a Daule Km 11.5, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
7,1790022418001,INDUSTRIAS ALES C.A. / DANEC S.A.,Andrés Valenzuela,023991200,danec@danec.com,"Av. Río Coca E11-63 y De los Granados, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
8,1790025735001,MODERNA ALIMENTOS S.A.,Gabriela Terán,023826000,info@moderna.com.ec,"Av. General Enríquez 2854, Sangolquí",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
9,0990861110001,INDUSTRIAS LACTEAS TONI S.A.,Diego Palacios,042590200,tonidec@toni.com.ec,"Vía a Daule Km 7.5, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
10,1290038514001,ORIENTAL INDUSTRIA ALIMENTICIA OIALSA S.A.,Wilson León,052760220,ventas@oriental.com.ec,"Km 2.5 Vía a Valencia, Quevedo",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
11,1790012234001,COMPAÑIA DE CERVECERIAS NACIONALES C.N. S.A.,Sebastián Noboa,023966000,proveedores@cervecerianacional.ec,"Av. de los Shyris y Naciones Unidas, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
