id_sucursal,nombre,direccion,activo,creado_en,modificado_en,creado_por,modificado_por
1,Bodega Principal de Despachos,"Av. Galo Plaza Lasso N56-12 y Cap. Ramón Borja, Sector Industrial, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
2,Sucursal Quito Norte,"Av. Amazonas N34-102 y Av. Atahualpa, Sector Iñaquito, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
3,Sucursal Quito Centro,"Calle Guayaquil N6-45 y Espejo, Centro Histórico, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
4,Sucursal Quito Sur,"Av. Teniente Hugo Ortiz S23-89 y Av. Mariscal Sucre, Sector El Recreo, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
5,Sucursal Guayaquil Urdesa,"Av. Víctor Emilio Estrada 402 y Las Monjas, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
6,Sucursal Guayaquil Samborondón,"Av. Samborondón Km 2.5, Centro Comercial Plaza Lagos, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
7,Sucursal Guayaquil Centro,"Av. 9 de Octubre 1205 y Pedro Carbo, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
8,Sucursal Cuenca El Sagrario,"Calle Bolívar 7-23 y Borrero, Sector Parque Calderón, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
9,Sucursal Cuenca Yanuncay,"Av. Primero de Mayo y Av. De las Américas, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
10,Sucursal Riobamba Centro,"Av. Daniel León Borja y Calle Carabobo, Riobamba",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
11,Sucursal Riobamba Norte,"Av. Lizarzaburu Km 1.5, Sector La Politécnica, Riobamba",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
12,Sucursal Latacunga Centro,"Calle Guayaquil 5-12 y Sánchez de Orellana, Latacunga",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
13,Sucursal Latacunga San Felipe,"Av. Eloy Alfaro y Calle Cotopaxi, Sector San Felipe, Latacunga",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
