id_tarjeta,id_cliente,codigo_tarjeta,puntos_acumulados,fecha_afiliacion,activo,creado_en,modificado_en,creado_por,modificado_por
1,1,DM360-00000001,2527,2025-12-15 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
2,2,DM360-00000002,2112,2026-05-02 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
3,3,DM360-00000003,3591,2025-03-24 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
4,6,DM360-00000006,4574,2023-03-21 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
5,7,DM360-00000007,3467,2024-01-14 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
6,8,DM360-00000008,149,2022-05-29 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
7,9,DM360-00000009,2354,2022-04-30 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
8,10,DM360-00000010,3023,2026-03-30 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
9,11,DM360-00000011,4511,2026-05-09 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
10,12,DM360-00000012,1232,2022-09-28 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
11,14,DM360-00000014,1368,2026-07-04 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
12,15,DM360-00000015,3982,2026-01-20 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
13,17,DM360-00000017,3414,2023-06-10 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
14,18,DM360-00000018,3210,2023-01-18 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
15,19,DM360-00000019,2648,2025-02-26 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
16,21,DM360-00000021,4250,2024-09-14 00:00:00-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,script,
